module,key,english,lao,priority
"admin","admin.ClaimAdministratorFormPanel.title","Claim Administrator","",1
"admin","admin.EnrolmentOfficerFormPanel.substitutionOfficer","Substitution Officer","",1
"admin","admin.EnrolmentOfficerFormPanel.substitutionOfficer.placeholder","Search for an Officer...","",1
"admin","admin.EnrolmentOfficerFormPanel.title","Enrolment Officer","",1
"admin","admin.EnrolmentOfficerPicker.closeText","Close","",1
"admin","admin.EnrolmentOfficerPicker.label","Select an Officer","",1
"admin","admin.EnrolmentZonesPicker.table.addButton","Add a municipality","",1
"admin","admin.InteractiveUserFormPanel.title","Interactive User","",1
"admin","admin.mainMenu","Administration","",1
"admin","admin.menu.claimAdministrators","Claim Administrators","",1
"admin","admin.menu.enrollmentOfficers","Enrollment Officers","",1
"admin","admin.menu.healthFacilities","Health Facilities","",1
"admin","admin.menu.locations","Locations","",1
"admin","admin.menu.medicalItems","Medical Items","",1
"admin","admin.menu.medicalItemsPrices","Medical Items Price Lists","",1
"admin","admin.menu.medicalServices","Medical Services","",1
"admin","admin.menu.medicalServicesPrices","Medical Services Price Lists","",1
"admin","admin.menu.payers","Payers","",1
"admin","admin.menu.products","Products","",1
"admin","admin.menu.users","Users","",1
"admin","admin.menu.usersProfiles","Users Profiles","",1
"admin","admin.password.unknownScore","Unknown score.","",1
"admin","admin.PaymentPointManagerPicker.label","Payment Point Manager","",1
"admin","admin.PaymentPointManagerPicker.placeholder","Search for an PPM...","",1
"admin","admin.user.addNewUser.tooltip","Add new user","",1
"admin","admin.user.addNewUserTooltip","Add new user","",1
"admin","admin.user.address","Address","",1
"admin","admin.user.createUser.mutationLabel","Create user","",1
"admin","admin.user.CreateUser.mutationLabel","Create user","",1
"admin","admin.user.deleteDialog.message","Are you sure you want to delete this user?","",1
"admin","admin.user.deleteDialog.title","Delete user","",1
"admin","admin.user.deleteDialog.yes.button","Yes","",1
"admin","admin.user.deleteUser.buttonText","Delete","",1
"admin","admin.user.deleteUser.tooltip","Delete user","",1
"admin","admin.user.deleteUserDialog.message","Are you sure you want to delete this user?","",1
"admin","admin.user.lastName","admin.user.otherNames","",1
"admin","admin.user.openInNewTab.buttonText","Open in new tab","",1
"admin","admin.user.openNewTab.buttonText","Open","",1
"admin","admin.user.updateUser.mutationLabel","Update user","",1
"admin","admin.user.username","User name","",1
"admin","admin.user.UserOverview.title","admin.user.UserOverview.newTitle","",1
"admin","admin.user.userRoles.placeholder","Select User Role(s)","",1
"admin","admin.user.userTypes.none"," ","",1
"admin","admin.user.userTypes.noOptions","No user type found","",1
"admin","admin.UserFilter.showDeleted","Show Deleted","",1
"admin","admin.UserPicker.closeText","Close","",1
